accuracy	bucket	dim	epoch	f1	label_prefix	loss	lr	lr_update_rate	maxn	neg	precision	recall	thread	training_duration	word_ngrams	ws	best_validation_accuracy	embedding	model.encoder.architecture.type
0.8826234753000001	20000	383	50	0.8834000000000001	__label__	softmax	0.0487940584646086	136	9	7	0.8834000000000001	0.8834000000000001	20	64.6052720547	2	5.46688055068386	0.8826234753000001		fasttext
0.8778244351000001	20000	409	50	0.8788	__label__	ns	0.38822638680723165	491	0	9	0.8788	0.8788	20	74.2795498371	2	8.251204435431767	0.8778244351000001		fasttext
0.6310737852	20000	389	50	0.6434000000000001	__label__	ns	0.0041729086072296	114	0	8	0.6434000000000001	0.6434000000000001	20	126.7708647251	3	2.238120936400766	0.6310737852		fasttext
0.8810237952000001	20000	496	50	0.8828	__label__	softmax	0.07929121454713797	472	3	4	0.8828	0.8828	20	22.3592889309	1	9.96835568666773	0.8810237952000001		fasttext
0.49990002	20000	409	50	0.5	__label__	ns	0.0012615150954175308	333	3	6	0.5	0.5	20	200.0422408581	4	3.1476205940211837	0.49990002		fasttext
0.8810237952000001	20000	480	50	0.884	__label__	softmax	0.1544367478261958	162	5	1	0.884	0.884	20	22.9486019611	1	9.69024470515341	0.8810237952000001		fasttext
0.5366926615000001	20000	442	50	0.5428000000000001	__label__	softmax	0.003963151339613278	85	7	6	0.5428000000000001	0.5428000000000001	20	145.5727021694	3	2.180469029254362	0.5366926615000001		fasttext
0.8788242352000001	20000	293	50	0.8804000000000001	__label__	softmax	0.22068398233353817	360	9	3	0.8804000000000001	0.8804000000000001	20	48.7764818668	2	3.5293542644066593	0.8788242352000001		fasttext
0.8604279144	20000	234	50	0.8612000000000001	__label__	ns	0.027011810801351104	244	6	3	0.8612000000000001	0.8612000000000001	20	106.2035050392	4	7.965151491238701	0.8604279144		fasttext
0.49990002	20000	470	50	0.5	__label__	ns	0.0018448685817222179	444	5	2	0.5	0.5	20	90.058245182	2	9.931382162210616	0.49990002		fasttext
0.8204359128000001	20000	502	50	0.8226	__label__	ns	0.021883157541051433	39	5	2	0.8226	0.8226	20	326.6550338268	5	5.5505354016981805	0.8204359128000001		fasttext
0.8082383523000001	20000	239	50	0.8152	__label__	softmax	0.015559169337272317	499	6	8	0.8152	0.8152	20	69.5024847984	3	2.6830963327497046	0.8082383523000001		fasttext
0.8092381524000001	20000	104	50	0.8124	__label__	ns	0.013335993728981683	316	9	9	0.8124	0.8124	20	44.560324192	5	9.539341038002377	0.8092381524000001		fasttext
0.5384923015	20000	173	50	0.5438000000000001	__label__	softmax	0.004806503842106451	489	6	2	0.5438000000000001	0.5438000000000001	20	68.442054987	4	3.4188235990797278	0.5384923015		fasttext
0.8638272346	20000	152	50	0.869	__label__	softmax	0.026514354781022827	1	2	9	0.869	0.869	20	43.6522438526	3	2.5614399202164613	0.8638272346		fasttext
0.5556888622	20000	92	50	0.5612	__label__	ns	0.00397965062971816	252	9	1	0.5612	0.5612	20	35.6527969837	4	4.439200172486511	0.5556888622		fasttext
0.8442311538	20000	476	50	0.844	__label__	ns	0.0848154273133926	425	6	3	0.844	0.844	20	306.2355499268	5	5.226941626746346	0.8442311538		fasttext
0.8796240752000001	20000	484	50	0.8822000000000001	__label__	softmax	0.14673437034680623	89	3	4	0.8822000000000001	0.8822000000000001	20	83.8205559254	2	5.658034216448522	0.8796240752000001		fasttext
0.8580283943	20000	215	50	0.8588	__label__	ns	0.041705523406951335	283	8	3	0.8588	0.8588	20	97.9296498299	4	5.3980966478672165	0.8580283943		fasttext
0.8468306339	20000	138	50	0.8486	__label__	ns	0.15303560506697958	460	8	7	0.8486	0.8486	20	55.8155100346	4	2.1770204218401368	0.8468306339		fasttext
0.6516696661	20000	393	50	0.6616000000000001	__label__	ns	0.009572820436801459	143	5	5	0.6616000000000001	0.6616000000000001	20	242.2057740688	5	6.9722675516075565	0.6516696661		fasttext
0.8654269146	20000	172	50	0.8668	__label__	ns	0.011500996689615382	346	3	1	0.8668	0.8668	20	17.7476830482	1	5.296700977314685	0.8654269146		fasttext
0.8088382324000001	20000	495	50	0.8122	__label__	softmax	0.027234055170381626	201	4	2	0.8122	0.8122	20	324.7075462341	5	4.5932253658603335	0.8088382324000001		fasttext
0.8740251950000001	20000	207	50	0.8766	__label__	softmax	0.03372046247608389	396	4	7	0.8766	0.8766	20	62.1149208546	3	9.13510381780849	0.8740251950000001		fasttext
0.8836232753000001	20000	329	50	0.8866	__label__	ns	0.03335166974427791	218	0	2	0.8866	0.8866	20	23.2643311024	1	3.488078908237328	0.8836232753000001		fasttext
0.5396920616	20000	381	50	0.545	__label__	softmax	0.0055972601518229316	433	2	4	0.545	0.545	20	175.2279510498	4	3.043510104877794	0.5396920616		fasttext
0.8796240752000001	20000	396	50	0.8828	__label__	softmax	0.06909998575548358	226	2	9	0.8828	0.8828	20	24.72529006	1	3.375840158930852	0.8796240752000001		fasttext
0.8522295541	20000	260	50	0.8546	__label__	ns	0.03158675764593078	302	4	5	0.8546	0.8546	20	174.0638110638	5	9.755784459478285	0.8522295541		fasttext
0.8798240352000001	20000	257	50	0.882	__label__	ns	0.6780108032194463	249	7	6	0.882	0.882	20	21.611743927	1	2.0114240298135964	0.8798240352000001		fasttext
0.5430913817	20000	468	50	0.5478000000000001	__label__	softmax	0.006253923606865779	489	3	2	0.5478000000000001	0.5478000000000001	20	165.8646359444	3	2.0926460449799444	0.5430913817		fasttext
0.8468306339	20000	499	50	0.8458	__label__	softmax	0.013919201183908561	467	8	4	0.8458	0.8458	20	85.9750659466	2	9.475067365830032	0.8468306339		fasttext
0.8836232753000001	20000	131	50	0.8852000000000001	__label__	ns	0.012079439706251317	380	9	7	0.8852000000000001	0.8852000000000001	20	16.9329206944	1	3.4826563977632157	0.8836232753000001		fasttext
0.7244551090000001	20000	163	50	0.7302000000000001	__label__	ns	0.0042027238822221966	408	2	7	0.7302000000000001	0.7302000000000001	20	34.2761769295	2	4.03677433949603	0.7244551090000001		fasttext
0.5354929014	20000	217	50	0.538	__label__	softmax	0.0018060392467977397	257	5	5	0.538	0.538	20	116.8717498779	5	3.8556410662879506	0.5354929014		fasttext
0.8628274345	20000	426	50	0.866	__label__	ns	0.009117613616800559	143	6	7	0.866	0.866	20	81.1173877716	2	2.72043644691317	0.8628274345		fasttext
0.49990002	20000	415	50	0.5	__label__	ns	0.0016543354369324388	294	3	8	0.5	0.5	20	282.0021648407	5	3.9089975015015193	0.49990002		fasttext
0.8824235153000001	20000	246	50	0.8858	__label__	ns	0.025769182528367	64	7	5	0.8858	0.8858	20	24.0819489956	1	3.7146678702810454	0.8824235153000001		fasttext
0.5318936213000001	20000	113	50	0.5364	__label__	softmax	0.0033317970604648307	440	9	4	0.5364	0.5364	20	46.6431889534	4	5.6841485825310505	0.5318936213000001		fasttext
0.8628274345	20000	379	50	0.865	__label__	ns	0.3278078031647125	462	0	1	0.865	0.865	20	132.9380497932	3	3.6085567794599274	0.8628274345		fasttext
0.8824235153000001	20000	304	50	0.8834000000000001	__label__	softmax	0.0282204244714549	335	8	3	0.8834000000000001	0.8834000000000001	20	52.1593959332	2	3.0496521696418997	0.8824235153000001		fasttext
0.49990002	20000	455	50	0.5	__label__	ns	0.001194621175702222	261	7	3	0.5	0.5	20	297.141865015	5	4.419975028256914	0.49990002		fasttext
0.8794241152000001	20000	256	50	0.8808	__label__	softmax	0.3789106041025209	14	1	1	0.8808	0.8808	20	45.7935130596	2	4.747292701852602	0.8794241152000001		fasttext
0.8474305139	20000	145	50	0.8486	__label__	ns	0.6089667098282843	420	2	2	0.8486	0.8486	20	63.5694830418	4	3.634356136515176	0.8474305139		fasttext
0.5356928614	20000	189	50	0.539	__label__	softmax	0.005917644056572941	91	8	6	0.539	0.539	20	101.5486731529	5	9.980685983199642	0.5356928614		fasttext
0.6486702659	20000	141	50	0.661	__label__	ns	0.006642098736326418	319	6	6	0.661	0.661	20	68.8740570545	4	3.0047059246278267	0.6486702659		fasttext
0.8782243551000001	20000	76	50	0.8794000000000001	__label__	softmax	0.8062634014494926	179	0	3	0.8794000000000001	0.8794000000000001	20	14.747494936	2	2.346193383280373	0.8782243551000001		fasttext
0.8442311538	20000	139	50	0.846	__label__	softmax	0.1172955959195271	153	4	5	0.846	0.846	20	67.7199950218	5	3.17376114841322	0.8442311538		fasttext
0.49990002	20000	223	50	0.5	__label__	ns	0.0018832130563948418	393	2	9	0.5	0.5	20	103.2708690166	4	4.80072763902169	0.49990002		fasttext
0.825834833	20000	108	50	0.8278000000000001	__label__	ns	0.0058880657071734704	168	9	9	0.8278000000000001	0.8278000000000001	20	26.0746791363	2	7.325192465096422	0.825834833		fasttext
0.8416316737	20000	405	50	0.8482000000000001	__label__	ns	0.02418864622967575	209	5	3	0.8482000000000001	0.8482000000000001	20	253.0212249756	5	4.796817858507762	0.8416316737		fasttext
