	best_epoch	best_validation_em	best_validation_end_acc	best_validation_f1	best_validation_loss	best_validation_span_acc	best_validation_start_acc	dataset_reader.token_indexers.token_characters.character_tokenizer.byte_encoding	dataset_reader.token_indexers.token_characters.character_tokenizer.end_tokens	dataset_reader.token_indexers.token_characters.character_tokenizer.start_tokens	dataset_reader.token_indexers.token_characters.min_padding_length	dataset_reader.token_indexers.token_characters.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.type	epoch	iterator.batch_size	iterator.sorting_keys	iterator.type	model.dropout	model.modeling_layer.bidirectional	model.modeling_layer.dropout	model.modeling_layer.hidden_size	model.modeling_layer.input_size	model.modeling_layer.num_layers	model.modeling_layer.type	model.num_highway_layers	model.phrase_layer.bidirectional	model.phrase_layer.dropout	model.phrase_layer.hidden_size	model.phrase_layer.input_size	model.phrase_layer.num_layers	model.phrase_layer.type	model.similarity_function.combination	model.similarity_function.tensor_1_dim	model.similarity_function.tensor_2_dim	model.similarity_function.type	model.span_end_encoder.bidirectional	model.span_end_encoder.dropout	model.span_end_encoder.hidden_size	model.span_end_encoder.input_size	model.span_end_encoder.num_layers	model.span_end_encoder.type	model.text_field_embedder.token_embedders.token_characters.dropout	model.text_field_embedder.token_embedders.token_characters.embedding.embedding_dim	model.text_field_embedder.token_embedders.token_characters.embedding.num_embeddings	model.text_field_embedder.token_embedders.token_characters.encoder.embedding_dim	model.text_field_embedder.token_embedders.token_characters.encoder.ngram_filter_sizes	model.text_field_embedder.token_embedders.token_characters.encoder.num_filters	model.text_field_embedder.token_embedders.token_characters.encoder.type	model.text_field_embedder.token_embedders.token_characters.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.mode	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.optimizer.betas	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_cpu_memory_MB	training_duration	training_em	training_end_acc	training_epochs	training_f1	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_span_acc	training_start_acc	training_start_epoch	validation_data_path	validation_em	validation_end_acc	validation_f1	validation_loss	validation_span_acc	validation_start_acc
0	19	0.24976348155156103	0.35572374645222327	0.387199134710966	5.445039023790345	0.20596026490066224	0.25799432355723745	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.1385357516416974	True	0.11556620893944514	70	696	3	lstm	1	True	0.05386971621914033	87	240	2	lstm	x,y,x*y	174	174	linear	True	0.3871792214321421	349	1116	2	lstm	0.3737043523792362	49	262	49	[1, 2, 3, 4, 5]	28	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7650.592	6739	7137	6877	7419	7197	7817	7053	7479	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	6.722133033367133	0.5	max	2	reduce_on_plateau	20	['0.9792602021704603', '0.9680552890903873']	7.094564771474958e-06	adam	10	+em	7650.592	32253.000000000004	0.19999086747565611	0.3345015354056553	19	0.3407381078928953	6061	2811	6877	6765	6715	7065	6933	6343	5.5673178070538665	0.1817486500987454	0.24324478589938242	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.24976348155156103	0.35572374645222327	0.387199134710966	5.445039023790345	0.20596026490066224	0.25799432355723745
1	18	0.17199621570482498	0.20804162724692526	0.24892107440121838	7.168367302543998	0.14181646168401135	0.18940397350993377	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.48314197640359635	True	0.31252816173633313	388	1016	3	lstm	2	True	0.11909792280658876	127	280	2	lstm	x,y,x*y	254	254	linear	True	0.016456183876059016	509	3344	1	lstm	0.17544293758875446	16	262	16	[1, 2, 3, 4, 5]	36	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7669.896	7825	7953	7905	7721	7769	7825	7183	7833	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	9.423667738478109	0.5	max	2	reduce_on_plateau	20	['0.9183867897794303', '0.9716184122018566']	0.0062298854157226986	adam	10	+em	7669.896	41087.0	0.11593739654562267	0.18644048448041645	19	0.20193705557129432	5373	7853	7905	6303	5767	7825	6007	6737	6.8211839284417835	0.10514960216440827	0.17142889759015514	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.16792809839167455	0.20482497634815516	0.2445317252299195	6.941797885519654	0.13841059602649006	0.18968779564806054
2	17	0.567833491012299	0.5884578997161779	0.6811241553342157	3.238448903979043	0.4596972563859981	0.549290444654683	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.0657553010649351	True	0.2717497933057974	257	1392	1	lstm	1	True	0.3410133240108901	174	320	3	lstm	x,y,x*y	348	348	linear	True	0.042447606040015906	463	2934	1	lstm	0.47350314227651835	32	262	32	[1, 2, 3, 4]	55	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7651.988	7825	7417	7905	7721	7839	7493	7183	7833	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	8.454755040705507	0.5	max	2	reduce_on_plateau	20	['0.9506238394775908', '0.9548749511594841']	4.140523970745532e-05	adam	10	+em	7651.988	32938.0	0.6177581935866848	0.7588899416660008	19	0.7559355004884749	5373	7417	7905	6303	5767	6679	4591	7833	2.1259074043247796	0.5612278678980354	0.6131120218267332	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.5667928098391675	0.5902554399243141	0.6831322584261439	3.379827198210354	0.45903500473036896	0.5485335856196784
3	19	0.31589403973509933	0.39943235572374647	0.44753547669332483	4.861638254188734	0.2582781456953642	0.32857142857142857	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.4504601949136188	True	0.027270587385769485	136	816	3	lstm	1	True	0.3918632817990443	102	292	2	lstm	x,y,x*y	204	204	linear	True	0.4729456787177034	506	1632	2	lstm	0.41527849210794193	49	262	49	[1, 2, 3, 4]	48	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7651.488	7489	8049	7853	5627	7647	7559	8005	8083	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	7.278344764413978	0.5	max	2	reduce_on_plateau	20	['0.9627492367778274', '0.9670069647195381']	1.2570183442531866e-05	adam	10	+em	7651.488	36794.0	0.24581330837110013	0.3729038002716926	19	0.38893310754822913	7331	6643	7853	5627	6607	5913	6979	4407	5.144308270624239	0.22071028208084567	0.28717222799347025	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.31589403973509933	0.39943235572374647	0.44753547669332483	4.861638254188734	0.2582781456953642	0.32857142857142857
4	19	0.07256385998107852	0.12015137180700095	0.15651100543846708	7.398745700559169	0.059413434247871336	0.10577105014191107	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.07989348570008026	True	0.0989641133339258	224	2216	2	lstm	1	True	0.35534301158477605	277	280	3	lstm	x,y,x*y	554	554	linear	True	0.23870340873303175	340	3560	1	lstm	0.25943314297561715	57	262	57	[1, 2, 3, 4, 5]	36	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7647.456	8041	7609	7985	7569	0	0	0	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	9.34761887977325	0.5	max	2	reduce_on_plateau	20	['0.920058060588871', '0.933123811138009']	1.4142491195829608e-06	adam	10	+em	7647.456	36816.0	0.05880204111919086	0.11868856950421809	19	0.13549539814262992	6799	7609	7985	7569	0	0	0	0	7.442764043503156	0.05415586935923926	0.10403086793228233	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.07256385998107852	0.12015137180700095	0.15651100543846708	7.398745700559169	0.059413434247871336	0.10577105014191107
5	6	0.6570482497634815	0.658088930936613	0.7606732258881125	2.6645612849229763	0.5246925260170293	0.6135288552507095	utf-8	[260]	[259]	5	characters	True	single_id	squad	15	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.2055527805451564	True	0.06807230872346082	335	1960	1	lstm	2	True	0.013879976304527919	245	184	1	lstm	x,y,x*y	490	490	linear	True	0.41256187394020544	191	3970	3	lstm	0.4638497576417129	61	262	61	[1, 2, 3]	28	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7652.024	7963	7757	6779	7119	7189	7225	7621	6929	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	5.041098150983309	0.5	max	2	reduce_on_plateau	20	['0.9824735570451446', '0.9544006512182627']	0.0005317866569619444	adam	10	+em	7652.024	22985.0	0.8883663055514333	0.9211406522905513	15	0.9475651485503893	6643	7137	6779	7119	7189	4721	7053	6929	0.48818425942331417	0.8582518065274718	0.9146451443509629	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.6350047303689688	0.6368968779564806	0.7415333540035421	4.521140339334866	0.5080416272469253	0.5923368022705771
6	19	0.12781456953642384	0.2033112582781457	0.24990410771136537	6.509173915534085	0.1022705771050142	0.17105014191106907	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.4599884880655921	True	0.07621735945237373	416	992	2	lstm	3	True	0.47298803534776007	124	330	1	lstm	x,y,x*y	248	248	linear	True	0.3285002837948474	229	3488	1	lstm	0.10169862966766835	54	262	54	[1, 2, 3, 4, 5]	46	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7655.42	6891	7719	6521	7107	8089	7739	7873	8103	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	5.550656837225215	0.5	max	2	reduce_on_plateau	20	['0.9115435747625115', '0.9359832700316535']	1.8386227539824105e-06	adam	10	+em	7655.42	29132.0	0.09710156508635943	0.17793582118517334	19	0.203882811629358	5785	5957	6521	5811	7423	5769	7873	5299	6.757174484566466	0.08845991392595806	0.15781002066233632	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.12781456953642384	0.2033112582781457	0.24990410771136537	6.509173915534085	0.1022705771050142	0.17105014191106907
7	7	0.010406811731315043	0.00728476821192053	0.0258155171714942	9.762911531099213	0.00728476821192053	0.021475875118259224	utf-8	[260]	[259]	5	characters	True	single_id	squad	16	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.20532856481109285	True	0.06995589572689409	483	1264	3	lstm	3	True	0.048175761860594246	158	228	2	lstm	x,y,x*y	316	316	linear	True	0.07760125333467882	248	4162	1	lstm	0.4760551571451126	63	262	63	[1, 2, 3, 4]	32	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7666.904	7873	8089	7181	8049	8041	7543	7787	8103	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	7.41441235572375	0.5	max	2	reduce_on_plateau	20	['0.977041257702728', '0.9371492120302296']	0.05970411207799419	adam	10	+em	7666.416	34400.0	0.0005137044943435427	0.00845900067352367	16	0.06446985755945657	6647	7757	5761	3257	4771	7205	7621	6535	10.043623862767328	0.0002283131085971301	0.01156405895044464	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.0	0.004541154210028382	0.06586500372331708	9.76562580074016	0.0	0.021475875118259224
8	19	0.5367076631977294	0.5760643330179754	0.6584502769379407	3.4407013212859	0.4270577105014191	0.5104068117313151	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.11390439758846699	True	0.3986501660417253	176	2424	3	lstm	2	True	0.37413879036127223	303	405	2	lstm	x,y,x*y	606	606	linear	True	0.31130493113999047	492	3480	3	lstm	0.33423943635539055	59	262	59	[1, 2, 3, 4, 5]	61	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7723.56	7963	7757	6877	7419	7197	7225	7621	7413	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	7.85383415375988	0.5	max	2	reduce_on_plateau	20	['0.9254256158932871', '0.9686386882785395']	1.6398796380153163e-05	adam	10	+em	7723.56	50439.0	0.5080194979394742	0.6490485051199215	19	0.6676813645915555	6061	7569	6877	6765	679	677	679	679	2.900799685199511	0.45584995262503	0.5270265642301852	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.5367076631977294	0.5760643330179754	0.6584502769379407	3.4407013212859	0.4270577105014191	0.5104068117313151
9	2	0.014758751182592242	0.004257332071901609	0.046412488537594256	54544.88025068551	0.0006622516556291391	0.009366130558183538	utf-8	[260]	[259]	5	characters	True	single_id	squad	11	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.2834951267799346	True	0.15533008700293416	458	2544	1	lstm	3	True	0.07622338318349031	318	204	1	lstm	x,y,x*y	636	636	linear	True	0.24065708130566082	217	5292	3	lstm	0.007538156773225446	46	262	46	[1, 2, 3, 4]	26	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7645.296	7331	8007	7853	6077	7973	7559	7049	7923	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	6.021122755898448	0.5	max	2	reduce_on_plateau	20	['0.9987122613134971', '0.9223539160343803']	0.0007343497969559699	adam	10	+em	7644.448	20438.0	0.0007077706366511033	0.008904211235288074	11	0.06043440305851232	7331	6647	4943	6077	7973	3475	7049	2321	242138.73871575342	0.00025114441945684314	0.008264934531216109	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.0020813623462630085	0.004257332071901609	0.06119608799991208	11770.621631524205	0.0003784295175023652	0.020624408703878903
10	9	0.6182592242194891	0.6256385998107853	0.7223995323706718	2.8919639605437033	0.5024597918637653	0.5879848628193	utf-8	[260]	[259]	5	characters	True	single_id	squad	18	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.05330620180932866	True	0.29951560173872777	216	1768	3	lstm	1	True	0.22761417809055312	221	244	2	lstm	x,y,x*y	442	442	linear	True	0.2930438089802322	365	3064	2	lstm	0.12963612202668123	16	262	16	[1, 2, 3, 4]	36	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7654.868	7797	7569	7225	7419	7197	7065	6933	6343	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	9.512510379659988	0.5	max	2	reduce_on_plateau	20	['0.9813978415599726', '0.9915275435491366']	7.369474642849211e-05	adam	10	+em	7654.868	36080.0	0.8359342001621023	0.9505473806778616	18	0.927607231075898	5895	3033	4797	6765	0	0	0	0	0.7494109678635859	0.7840728775442642	0.7990844644345255	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.6018921475875119	0.6064333017975402	0.7135088803359687	5.185285117009403	0.4770104068117313	0.5757805108798486
11	14	0.6606433301797541	0.6552507095553454	0.7584369878222373	2.7815898183434524	0.5311258278145695	0.6186376537369915	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.11028397023617698	True	0.48894199993175963	95	648	3	lstm	2	True	0.2938050029523015	81	192	2	lstm	x,y,x*y	162	162	linear	True	0.44458083654237585	200	1218	1	lstm	0.4596298279020681	58	262	58	[1, 2, 3, 4]	23	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7628.312	6801	7719	7619	5811	7947	7739	7787	8103	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	5.193866100650623	0.5	max	2	reduce_on_plateau	20	['0.9096563903074262', '0.9875940139483712']	0.0006880580480220429	adam	10	+em	7628.312	25873.0	0.7374970033904497	0.8345871528213792	19	0.856400414142501	6801	5221	7179	5811	6283	6851	5163	4063	1.3400512423934456	0.678363908263793	0.7402253450381854	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.6567644276253548	0.6501419110690634	0.7604973835687806	3.0609137783793567	0.5264900662251656	0.6203405865657521
