training_duration,model.encoder.architecture.type,dataset_reader.sample,trainer.optimizer.lr,best_validation_accuracy
1,DGEM,10000,10000,0.490798
1,DGEM,10000,10000,0.496166
1,DGEM,10000,10000,0.496166
1,DGEM,10000,10000,0.496166
1,DGEM,10000,10000,0.496933
1,DGEM,10000,10000,0.496933
1,DGEM,10000,10000,0.497699
1,DGEM,10000,10000,0.499233
1,DGEM,10000,10000,0.500767
1,DGEM,10000,10000,0.501534
1,DGEM,10000,10000,0.502301
1,DGEM,10000,10000,0.503834
1,DGEM,10000,10000,0.503834
1,DGEM,10000,10000,0.503834
1,DGEM,10000,10000,0.503834
1,DGEM,10000,10000,0.503834
1,DGEM,10000,10000,0.503834
1,DGEM,10000,10000,0.503834
1,DGEM,10000,10000,0.503834
1,DGEM,10000,10000,0.503834
1,DGEM,10000,10000,0.503834
1,DGEM,10000,10000,0.504601
1,DGEM,10000,10000,0.506135
1,DGEM,10000,10000,0.512270
1,DGEM,10000,10000,0.513037
1,DGEM,10000,10000,0.516104
1,DGEM,10000,10000,0.518405
1,DGEM,10000,10000,0.519939
1,DGEM,10000,10000,0.526074
1,DGEM,10000,10000,0.526840
1,DGEM,10000,10000,0.532975
1,DGEM,10000,10000,0.536810
1,DGEM,10000,10000,0.537577
1,DGEM,10000,10000,0.541411
1,DGEM,10000,10000,0.543712
1,DGEM,10000,10000,0.550613
1,DGEM,10000,10000,0.565184
1,DGEM,10000,10000,0.575153
1,DGEM,10000,10000,0.591258
1,DGEM,10000,10000,0.633436
1,DGEM,10000,10000,0.638804
1,DGEM,10000,10000,0.644939
1,DGEM,10000,10000,0.648006
1,DGEM,10000,10000,0.655675
1,DGEM,10000,10000,0.658742
1,DGEM,10000,10000,0.664110
1,DGEM,10000,10000,0.669479
1,DGEM,10000,10000,0.672546
1,DGEM,10000,10000,0.684049
1,DGEM,10000,10000,0.691718
1,DGEM,10000,10000,0.694785
1,DGEM,10000,10000,0.694785
1,DGEM,10000,10000,0.695552
1,DGEM,10000,10000,0.696319
1,DGEM,10000,10000,0.701687
1,DGEM,10000,10000,0.702454
1,DGEM,10000,10000,0.713190
1,DGEM,10000,10000,0.719325
1,DGEM,10000,10000,0.722393
1,DGEM,10000,10000,0.723160
1,DGEM,10000,10000,0.725460
1,DGEM,10000,10000,0.727761
1,DGEM,10000,10000,0.733129
1,DGEM,10000,10000,0.733896
1,DGEM,10000,10000,0.735429
1,DGEM,10000,10000,0.736196
1,DGEM,10000,10000,0.737730
1,DGEM,10000,10000,0.741564
1,DGEM,10000,10000,0.743865
1,DGEM,10000,10000,0.746933
1,DGEM,10000,10000,0.747699
1,DGEM,10000,10000,0.748466
1,DGEM,10000,10000,0.750000
1,DGEM,10000,10000,0.750000
1,DGEM,10000,10000,0.750767
1,DGEM,10000,10000,0.756902
1,DGEM,10000,10000,0.760736
1,DGEM,10000,10000,0.764571
1,DGEM,10000,10000,0.766871
1,DGEM,10000,10000,0.766871
1,DGEM,10000,10000,0.769172
1,DGEM,10000,10000,0.769939
1,DGEM,10000,10000,0.772239
1,DGEM,10000,10000,0.773006
1,DGEM,10000,10000,0.775307
1,DGEM,10000,10000,0.776840
1,DGEM,10000,10000,0.778374
1,DGEM,10000,10000,0.779141
1,DGEM,10000,10000,0.780675
1,DGEM,10000,10000,0.781442
1,DGEM,10000,10000,0.783742
1,DGEM,10000,10000,0.785276
1,DGEM,10000,10000,0.787577
1,DGEM,10000,10000,0.791411
1,DGEM,10000,10000,0.791411
1,DGEM,10000,10000,0.793712
1,DGEM,10000,10000,0.793712
1,DGEM,10000,10000,0.798313
1,DGEM,10000,10000,0.804448
1,DGEM,10000,10000,0.812117